sample_id,HALLMARK_GLYCOLYSIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,delta,label,HK2
000d81dd-9ba4-4852-9090-2bf22f6483f0,0.8286482886969185,1.2420117393395091,-0.4133634506425906,Mixed,64.3575
00174492-1adc-4310-8147-a622befbb466,0.8700754613237157,1.2729546940412264,-0.4028792327175107,Mixed,25.7764
00252d7f-e222-462f-badc-b97e8dce2021,0.9061324845784605,1.2558985056536307,-0.3497660210751702,Mixed,81.3367
00ddbdd1-f29d-438b-820b-aacb111a3ec4,0.8315648085984053,1.257927524005708,-0.42636271540730264,Mixed,47.0176
017de1fe-6f36-4324-a20a-9d9ee3439d8f,0.9433330919719223,1.1498410814612074,-0.20650798948928517,Mixed,222.8635
01851b83-f8c4-4108-99c9-248fe29e39e9,0.7810810268936141,1.3898732429004934,-0.6087922160068793,Oxidative,3.8716
02669516-0c84-46b4-9ff1-ab147ff1ddcc,0.8825057860418423,1.2994594382387774,-0.41695365219693514,Mixed,126.8923
02c1c266-473f-437d-b768-20f685349ecb,0.785580114948077,1.458387993668275,-0.6728078787201981,Oxidative,1.2278
02f13d48-a03a-42e8-917d-e5d9025e2898,0.8669909200884485,1.255813076982611,-0.38882215689416255,Mixed,51.1189
03c6d5d2-1a33-4ae7-9421-f43b14fc97bd,0.8139975572056433,1.3061780545758066,-0.49218049737016334,Mixed,17.4332
040bcb51-b1dd-4666-819f-3ffed0b5ebb0,0.8675392379360516,1.2666471256616454,-0.3991078877255938,Mixed,70.3856
040e6555-b1a3-43ca-ae2b-a972fc01fa19,0.9297609574126572,1.2136945793989944,-0.2839336219863372,Mixed,44.2432
0461aca8-2256-4954-9c65-1b2a92c2b2a1,0.8381770599987238,1.2568675783800518,-0.418690518381328,Mixed,12.7361
0498e4e5-f3cc-4fa5-9686-099ab9e435f4,0.7699526172385069,1.4026410348669887,-0.6326884176284817,Oxidative,4.3284
04f48a21-1ab5-45d0-ba8a-8b6cd53ca1ff,0.6945066257223703,1.4308163658169073,-0.736309740094537,Oxidative,1.4432
0558db50-149d-4b8f-9994-4e0c3451ae8e,0.8666749134906532,1.343129177226645,-0.47645426373599176,Mixed,16.0012
056c67e7-03b3-40cc-8c19-d6938ad634aa,0.8671578790142864,1.3052571500867192,-0.43809927107243274,Mixed,65.4052
05aedbb7-c56c-4756-b8e8-302afaedcb4c,0.7435835138305773,1.431616003404393,-0.6880324895738157,Oxidative,1.4058
05becc45-68e1-4706-a225-3a805bd7ba56,0.9270046730096463,1.2550976732088177,-0.3280930001991714,Mixed,50.5602
0626d61a-3222-49c5-b6f0-4b59c5835d29,0.8324649808594392,1.2299891362678905,-0.3975241554084513,Mixed,40.5603
063830a5-bb8f-4d58-98d6-c49ea4f1f66d,0.8637397774560206,1.2666329180114846,-0.402893140555464,Mixed,85.7218
06632416-4901-4939-b250-35cd1b8b8323,0.8887055442942284,1.3360065877103626,-0.4473010434161342,Mixed,39.1243
0666c919-fe81-415e-84ea-c782234e3aa0,0.9055800180339945,1.3226560600995987,-0.4170760420656042,Mixed,51.9927
0699530d-22a4-4fb0-a17c-ff78397c5316,0.8036472285577407,1.3426519463760445,-0.5390047178183037,Oxidative,4.0291
06f37a68-0ffa-494c-9b43-00fc1e8b9ad2,0.8172803993130346,1.2001521557667119,-0.3828717564536772,Mixed,20.1187
07857799-d6eb-4a80-83b5-aad368e6cd3c,0.9101412972370259,1.2237281008531808,-0.313586803616155,Mixed,34.8007
07868319-1d09-49ca-b198-5677d151d36d,0.8745153946497566,1.2792196407353853,-0.4047042460856287,Mixed,52.8804
07b09d0e-fac2-42a7-9cac-ac1e38a92298,0.8957847231425385,1.289227504008796,-0.3934427808662574,Mixed,133.8382
0897b313-4bb5-4b3c-8146-6b90b58b904c,0.9507512631103912,1.316326276892319,-0.3655750137819278,Mixed,97.7393
08e51a10-bb34-448d-bc76-c02834852933,0.8370603012990798,1.3129853478545144,-0.47592504655543455,Mixed,28.4575
09b9e5e0-8901-452c-8c4b-baca1faddddc,0.8142647687961196,1.2848060658537244,-0.4705412970576047,Mixed,19.5464
09c297be-f824-4a0b-ae20-57ecf089a7d5,0.9213326268011027,1.24034317008113,-0.3190105432800273,Mixed,82.7929
0a98d561-9c8c-40d2-aaaf-cad735533329,0.7565317476695964,1.4174605232777087,-0.6609287756081123,Oxidative,2.1436
0af91fa3-3ad9-4ba3-9e29-8bd565871d69,0.860467881754367,1.3615966199101766,-0.5011287381558096,Oxidative,17.0359
0b4cbedf-b064-4d5a-aa85-8726640d9c63,0.902680080757483,1.3600721553844233,-0.4573920746269403,Mixed,37.6348
0bbde4ab-4f9d-478b-a168-055e489b53f2,0.8833952493973777,1.3304912866204277,-0.44709603722305,Mixed,29.5043
0c1c9170-9092-449e-afc2-0ef1d28ae07e,0.8620750127864087,1.1966329019517918,-0.3345578891653831,Mixed,45.9467
0c25f495-ae84-45a3-8c7a-5521ddcccf70,0.825546409286718,1.2066981646303865,-0.3811517553436685,Mixed,22.6713
0c5ce27e-46a9-4868-880d-c7e87391cdf9,0.8759275160946991,1.2222407942827418,-0.3463132781880427,Mixed,79.9352
0cb86c23-556d-4c56-b6cd-96dbbaff1441,0.9062439766788067,1.1952993530883185,-0.28905537640951173,Mixed,107.9554
0e7e953c-82c3-4887-86b5-584d41cfe518,0.9677075869332885,1.1903456239279464,-0.2226380369946579,Mixed,166.8454
0f8d808c-2f62-4720-b32c-b5e76adab4ba,0.8704955260830834,1.3258101562830704,-0.45531463019998697,Mixed,33.1987
0fbdc947-5a9e-47de-b4fa-bbbf1ba4fd6b,0.8660209810712807,1.304139033990303,-0.4381180529190223,Mixed,24.1491
1078f9da-8238-45d4-ac09-a4b5d3b75743,0.9408019533972701,1.2859723311596685,-0.34517037776239834,Mixed,47.3853
114e63e4-03a5-409e-835f-afa8af005d03,0.8502846758487276,1.2502836896288727,-0.39999901378014513,Mixed,46.639
1164d793-7d50-42c9-9b8c-74affd93964d,0.9321359753367688,1.322968999231403,-0.39083302389463426,Mixed,66.7982
1263f317-119b-428c-96b1-c187e54bb275,0.7084140532947802,1.3681893779530885,-0.6597753246583082,Oxidative,6.1647
12e9affd-cc06-49d9-b485-47e7034be973,0.9043919076405327,1.2942568930760776,-0.38986498543554493,Mixed,75.2504
12eadc69-863d-46fe-bb19-f8b38b05471b,0.9217007138988329,1.283105858885006,-0.36140514498617304,Mixed,53.0023
1317fb5d-608b-4c79-8198-f2ec68766224,0.645592170763217,1.4630947821754592,-0.8175026114122422,Oxidative,0.3366
131cc059-cc0f-43df-a19e-5f854a769181,0.8626215291182447,1.2794865102377964,-0.4168649811195516,Mixed,32.6082
134f1661-5f67-4184-bab4-bc9c6f80c789,0.7827137833939459,1.2824938707650098,-0.49978008737106383,Mixed,4.706
13b48a2d-dde2-4cd1-b26d-22621a002f5b,0.8665998781371695,1.2404929939866511,-0.3738931158494816,Mixed,31.2871
152893a4-2d02-4941-bbe9-eb038cce9ef2,0.8313044451942664,1.2731807024279413,-0.44187625723367496,Mixed,16.8286
158ed2cd-7be5-4191-89b6-0d034a6426c1,0.9266530425801667,1.2479004901181252,-0.32124744753795853,Mixed,70.8712
